genre,authors,ratings,isbn,ratingCount
"['/genres/young-adult|', '/genres/fiction|', '/genres/science-fiction|', '/genres/dystopia|', '/genres/fantasy|', '/genres/science-fiction|', '/genres/romance|', '/genres/adventure|', '/genres/young-adult|', '/genres/teen|', '/genres/apocalyptic|', '/genres/post-apocalyptic|', '/genres/action|']",['https://www.goodreads.com/author/show/153394.Suzanne_Collins'],['  4.33'],['9780439023481'],['6573981']
"['/genres/fantasy|', '/genres/young-adult|', '/genres/fiction|', '/genres/fantasy|', '/genres/magic|', '/genres/childrens|', '/genres/adventure|', '/genres/audiobook|', '/genres/childrens|', '/genres/middle-grade|', '/genres/classics|', '/genres/science-fiction-fantasy|']","['https://www.goodreads.com/author/show/1077326.J_K_Rowling', 'https://www.goodreads.com/author/show/2927.Mary_GrandPr_']",['  4.50'],['9780439358071'],['2600509']
"['/genres/classics|', '/genres/fiction|', '/genres/historical|', '/genres/historical-fiction|', '/genres/academic|', '/genres/school|', '/genres/literature|', '/genres/young-adult|', '/genres/historical|', '/genres/novels|', '/genres/academic|', '/genres/read-for-school|', '/genres/young-adult|', '/genres/high-school|']",['https://www.goodreads.com/author/show/1825.Harper_Lee'],['  4.28'],[],['4660417']
"['/genres/classics|', '/genres/fiction|', '/genres/romance|', '/genres/historical|', '/genres/historical-fiction|', '/genres/literature|', '/genres/historical|', '/genres/novels|', '/genres/romance|', '/genres/historical-romance|', '/genres/classics|', '/genres/classic-literature|', '/genres/adult|']","['https://www.goodreads.com/author/show/1265.Jane_Austen', 'https://www.goodreads.com/author/show/3500.Anna_Quindlen']",['  4.27'],[],['3109812']
"['/genres/young-adult|', '/genres/fantasy|', '/genres/romance|', '/genres/paranormal|', '/genres/vampires|', '/genres/fiction|', '/genres/fantasy|', '/genres/paranormal|', '/genres/romance|', '/genres/paranormal-romance|', '/genres/fantasy|', '/genres/supernatural|', '/genres/young-adult|', '/genres/teen|', '/genres/fantasy|', '/genres/urban-fantasy|']",['https://www.goodreads.com/author/show/941441.Stephenie_Meyer'],['  3.61'],['9780316015844'],['5118925']
"['/genres/historical|', '/genres/historical-fiction|', '/genres/fiction|', '/genres/young-adult|', '/genres/historical|', '/genres/classics|', '/genres/war|', '/genres/world-war-ii|', '/genres/holocaust|', '/genres/war|', '/genres/world-war-ii|', '/genres/writing|', '/genres/books-about-books|', '/genres/audiobook|']",['https://www.goodreads.com/author/show/11466.Markus_Zusak'],['  4.38'],['9780375831003'],['1901951']
"['/genres/classics|', '/genres/fiction|', '/genres/science-fiction|', '/genres/dystopia|', '/genres/fantasy|', '/genres/literature|', '/genres/politics|', '/genres/academic|', '/genres/school|', '/genres/science-fiction|', '/genres/novels|', '/genres/academic|', '/genres/read-for-school|']","['https://www.goodreads.com/author/show/3706.George_Orwell', 'https://www.goodreads.com/author/show/1392861.Russell_Baker', 'https://www.goodreads.com/author/show/480685.C_M_Woodhouse']",['  3.95'],['9780451526342'],['2845494']
"['/genres/fantasy|', '/genres/classics|', '/genres/fiction|', '/genres/young-adult|', '/genres/childrens|', '/genres/christian|', '/genres/adventure|', '/genres/childrens|', '/genres/middle-grade|', '/genres/science-fiction-fantasy|', '/genres/christian-fiction|']","['https://www.goodreads.com/author/show/1069006.C_S_Lewis', 'https://www.goodreads.com/author/show/25523.Pauline_Baynes']",['  4.26'],[],['536524']
"['/genres/fantasy|', '/genres/fiction|', '/genres/classics|', '/genres/adventure|', '/genres/science-fiction-fantasy|', '/genres/fantasy|', '/genres/epic-fantasy|', '/genres/fantasy|', '/genres/high-fantasy|', '/genres/young-adult|', '/genres/literature|', '/genres/fantasy|', '/genres/magic|']",['https://www.goodreads.com/author/show/656983.J_R_R_Tolkien'],['  4.60'],['9780345538376'],['113012']
"['/genres/young-adult|', '/genres/romance|', '/genres/fiction|', '/genres/contemporary|', '/genres/realistic-fiction|', '/genres/young-adult|', '/genres/teen|', '/genres/young-adult|', '/genres/coming-of-age|', '/genres/novels|', '/genres/drama|', '/genres/love|']",['https://www.goodreads.com/author/show/1406384.John_Green'],['  4.20'],[],['3694398']
